Rank;Sourceid;Title;Issn;Publisher;Open Access;SJR;SJR Best Quartile;H index;Coverage;Categories;Areas;Country
16182;17473;Survey Review;17522706, 00396265;Taylor and Francis Ltd.;No;0,330;Q3;37;1963-2026;"Civil and Structural Engineering (Q3); Computers in Earth Sciences (Q3); Earth and Planetary Sciences (miscellaneous) (Q3)";"Earth and Planetary Sciences; Engineering";United Kingdom
16183;62420;Turkish Neurosurgery;26515032, 10195149;Turkish Neurosurgical Society;No;0,330;Q3;39;1990-2026;"Neurology (clinical) (Q3); Surgery (Q3)";Medicine;Turkey
16184;18200156702;World Mycotoxin Journal;18750710, 18750796;Wageningen Academic Publishers;No;0,330;Q3;53;2009-2025;"Food Science (Q3); Public Health, Environmental and Occupational Health (Q3); Toxicology (Q3)";"Agricultural and Biological Sciences; Medicine; Pharmacology, Toxicology and Pharmaceutics";Netherlands
16185;145419;Proceedings - IEEE International Conference on Cluster Computing, ICCC;15525244;Institute of Electrical and Electronics Engineers Inc.;No;0,330;-;53;2000-2011, 2013, 2015-2025;"Engineering (miscellaneous); Hardware and Architecture; Signal Processing; Software";"Computer Science; Engineering";United States
16186;21100205716;Proceedings - International Symposium on Quality Electronic Design, ISQED;19483287, 19483295;IEEE Computer Society;No;0,330;-;40;2000-2003, 2005-2006, 2012-2025;"Electrical and Electronic Engineering; Hardware and Architecture; Safety, Risk, Reliability and Quality";"Computer Science; Engineering";United States
16187;21101070212;Index.comunicacion;21741859, 24443239;Rey Juan Carlos University;Yes;0,329;Q1;11;2019-2026;"Visual Arts and Performing Arts (Q1); Communication (Q2)";"Arts and Humanities; Social Sciences";Spain
16188;5600153477;Journal of Contemporary Religion;14699419, 13537903;Routledge;No;0,329;Q1;42;1995-2025;"Cultural Studies (Q1); Philosophy (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences";United Kingdom
16189;21100780796;Journal of Indonesian Islam;23556994, 19786301;State Islamic University of Sunan Ampel;Yes;0,329;Q1;18;2007-2025;"Cultural Studies (Q1); History (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences";Indonesia
16190;17100154721;Journal of Philosophical Research;10538364;Philosophy Documentation Center;No;0,329;Q1;20;2002-2022, 2024;Philosophy (Q1);Arts and Humanities;United States
16191;5800170538;Journal of the History of International Law;1388199X, 15718050;Martinus Nijhoff Publishers;No;0,329;Q1;18;2007-2026;"History (Q1); Law (Q2); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences";Netherlands
16192;21100378584;Monumenta Serica;02549948, 20571690;Routledge;No;0,329;Q1;13;1948-1949, 1956-1964, 1968-1969, 1972, 1974, 1976, 1979, 1981, 1984, 1986, 1988, 1990, 1992-2004, 2013-2025;"Cultural Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Philosophy (Q1); Religious Studies (Q1)";"Arts and Humanities; Social Sciences";United Kingdom
16193;21101190201;TalTech Journal of European Studies;26744619, 26744600;Sciendo;Yes;0,329;Q1;15;2020-2025;"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Law (Q2); Political Science and International Relations (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences";Poland
16194;21101121668;Applied Mechanics;26733161;Multidisciplinary Digital Publishing Institute (MDPI);Yes;0,329;Q2;15;2020-2025;Engineering (miscellaneous) (Q2);Engineering;Switzerland
16195;14784;Historia, Ciencias, Saude - Manguinhos;16784758, 01045970;Fundacao Oswaldo Cruz;Yes;0,329;Q2;26;1994-2026;"History and Philosophy of Science (Q2); Medicine (miscellaneous) (Q3)";"Arts and Humanities; Medicine";Brazil
16196;21101248979;Information studies: Theory and Application;10007490;;No;0,329;Q2;12;2020-2025;Library and Information Sciences (Q2);Social Sciences;China
16197;19700201800;Journal of Integrated Care;14769018, 20428685;Emerald Group Publishing Ltd.;No;0,329;Q2;26;1996-2025;"Sociology and Political Science (Q2); Health (social science) (Q3); Public Administration (Q3)";Social Sciences;United Kingdom
16198;15517;Maastricht Journal of European and Comparative Law;1023263X, 23995548;SAGE Publications Ltd;No;0,329;Q2;31;1994-2026;"Law (Q2); Political Science and International Relations (Q2)";Social Sciences;United Kingdom
16199;11500153514;Revista Espanola de Documentacion Cientifica;02100614, 19884621;CSIC Consejo Superior de Investigaciones Cientificas;Yes;0,329;Q2;24;1984, 2008-2025;Library and Information Sciences (Q2);Social Sciences;Spain
16200;15900154750;South African Journal of Economic and Management Sciences;22223436, 10158812;AOSIS (Pty) Ltd;Yes;0,329;Q2;32;1998-2026;"Economics, Econometrics and Finance (miscellaneous) (Q2); Business, Management and Accounting (miscellaneous) (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance";South Africa
16201;21101183651;Tikrit Journal for Agricultural Sciences;26640597, 18131646;Tikrit University;Yes;0,329;Q2;9;2023-2025;Agricultural and Biological Sciences (miscellaneous) (Q2);Agricultural and Biological Sciences;Iraq
16202;21101170291;Turkish Journal of Engineering;25871366;;No;0,329;Q2;12;2019-2026;Engineering (miscellaneous) (Q2);Engineering;Iran
16203;21100264819;Vniversitas;00419060, 20111711;Pontificia Universidad Javeriana;Yes;0,329;Q2;7;2012-2025;Law (Q2);Social Sciences;Colombia
16204;19700180901;Acta Scientiarum Mathematicarum;00016969;Springer International Publishing;No;0,329;Q3;16;2006, 2009-2026;"Analysis (Q3); Applied Mathematics (Q3)";Mathematics;Switzerland
16205;19144;Aquatic Insects;01650424, 17444152;Taylor and Francis Ltd.;No;0,329;Q3;27;1979-2014, 2016-2026;"Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Insect Science (Q3)";Agricultural and Biological Sciences;United Kingdom
16206;21101085281;Art, Science, and Engineering of Programming;24737321;;No;0,329;Q3;12;2017-2025;"Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Modeling and Simulation (Q3); Software (Q3); Theoretical Computer Science (Q3)";"Computer Science; Mathematics";United States
16207;17700156218;Biodiversity;14888386, 21600651;Taylor and Francis Ltd.;No;0,329;Q3;35;2000-2026;"Ecology (Q3); Nature and Landscape Conservation (Q3); Global and Planetary Change (Q4)";Environmental Science;United Kingdom
16208;21101185617;Biomechanics (Switzerland);26737078;Multidisciplinary Digital Publishing Institute (MDPI);Yes;0,329;Q3;13;2021-2025;"Biomedical Engineering (Q3); Orthopedics and Sports Medicine (Q3); Rehabilitation (Q3)";"Engineering; Medicine";Switzerland
16209;17374;Bryologist;00072745;American Bryological and Lichenological Society Inc.;No;0,329;Q3;57;1981-1985, 1990-2025;"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)";Agricultural and Biological Sciences;United States
16210;19414;Canadian Journal of Urology;14885581, 11959479;Tech Science Press;No;0,329;Q3;51;2000-2026;"Medicine (miscellaneous) (Q3); Urology (Q3)";Medicine;United States
16211;21100820182;Chinese Journal of Rice Science;10017216;China National Rice Research Institute;No;0,329;Q3;18;2016-2026;"Agronomy and Crop Science (Q3); Plant Science (Q3); Soil Science (Q3)";Agricultural and Biological Sciences;China
16212;130028;Clinical Case Studies;15346501, 15523802;SAGE Publications Inc.;No;0,329;Q3;29;2002-2026;"Clinical Psychology (Q3); Psychiatry and Mental Health (Q3)";"Medicine; Psychology";United States
16213;21100199542;Colloquium Mathematicum;00101354, 17306302;Institute of Mathematics. Polish Academy of Sciences;No;0,329;Q3;31;2001-2025;Mathematics (miscellaneous) (Q3);Mathematics;Poland
16214;21101058284;Current Journal of Neurology;2717011X;Tehran University of Medical Sciences;Yes;0,329;Q3;11;2020-2025;"Neurology (Q3); Neurology (clinical) (Q3)";"Medicine; Neuroscience";Iran
16215;20001;Economic Notes;14680300, 03915026;Wiley-Blackwell Publishing Ltd;No;0,329;Q3;28;2001-2026;Economics and Econometrics (Q3);Economics, Econometrics and Finance;United Kingdom
16216;21101240759;ECS Advances;27542734;Institute of Physics;Yes;0,329;Q3;10;2022-2026;"Electrochemistry (Q3); Energy (miscellaneous) (Q3); Materials Science (miscellaneous) (Q3)";"Chemistry; Energy; Materials Science";United Kingdom
16217;27048;Explosion and Shock Waves;10011455;Science Press;Yes;0,329;Q3;36;1996-2026;Physics and Astronomy (miscellaneous) (Q3);Physics and Astronomy;China
16218;21101378323;Food Science of Animal Products;29583780, 29584124;Tsinghua University Press;Yes;0,329;Q3;6;2023-2026;Food Science (Q3);Agricultural and Biological Sciences;China
16219;25866;Geo-Marine Letters;02760460, 14321157;Springer Verlag;No;0,329;Q3;68;1981-1982, 1984-2026;"Earth and Planetary Sciences (miscellaneous) (Q3); Environmental Science (miscellaneous) (Q3); Geotechnical Engineering and Engineering Geology (Q3); Oceanography (Q3)";"Earth and Planetary Sciences; Environmental Science";Germany
16220;62608;Indian Journal of Urology;09701591;Wolters Kluwer Medknow Publications;Yes;0,329;Q3;47;1984-1999, 2002-2003, 2006-2026;Urology (Q3);Medicine;India
16221;17700155804;Journal of E-Learning and Knowledge Society;18266223, 19718829;Italian e-Learning Association;Yes;0,329;Q3;28;2006, 2009-2025;"Computer Science Applications (Q3); Education (Q3); E-learning (Q3)";"Computer Science; Social Sciences";Italy
16222;17600154901;Journal of Superhard Materials;19349408, 10634576;Allerton Press Inc.;No;0,329;Q3;30;2007-2025;"Inorganic Chemistry (Q3); Materials Science (miscellaneous) (Q3)";"Chemistry; Materials Science";United States
16223;21101255056;Memoires de la Societe Mathematique de France;0249633X, 22753230;Societe Mathematique de France;No;0,329;Q3;4;2020-2021, 2023-2025;"Algebra and Number Theory (Q3); Analysis (Q3); Geometry and Topology (Q3); Statistics and Probability (Q3)";Mathematics;France
16224;21101197355;Mining Safety and Environmental Protection;10084495;;Yes;0,329;Q3;11;2019-2025;"Ecology (Q3); Environmental Science (miscellaneous) (Q3); Geochemistry and Petrology (Q3); Geology (Q3); Nature and Landscape Conservation (Q3)";"Earth and Planetary Sciences; Environmental Science";China
16225;21100201912;Open Transportation Journal;18744478, 26671212;Bentham Science Publishers;Yes;0,329;Q3;17;2008, 2012-2025;"Modeling and Simulation (Q3); Transportation (Q3)";"Mathematics; Social Sciences";United Arab Emirates
16226;19200157116;Ornitologia Colombiana;17940915;Asociacion Colombiana de Ornitologia;No;0,329;Q3;12;2009-2013, 2015-2017, 2019-2025;"Animal Science and Zoology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)";Agricultural and Biological Sciences;Colombia
16227;19700180845;Pachyderm;10262881, 16835018;IUCN - International Union for the Conservation of Nature;Yes;0,329;Q3;17;2008-2015, 2017-2025;Animal Science and Zoology (Q3);Agricultural and Biological Sciences;Switzerland
16228;19300157017;Revista de Educacion;1988592X, 00348082;Ministry Education and Science;No;0,329;Q3;42;2008-2026;Education (Q3);Social Sciences;Spain
16229;5700160328;Saude e Sociedade;01041290;University of Sao Paolo;Yes;0,329;Q3;29;2008-2025;"Health (social science) (Q3); Public Health, Environmental and Occupational Health (Q3)";"Medicine; Social Sciences";Brazil
16230;21100913561;Swiss Journal of Economics and Statistics;22356282;Springer Nature;Yes;0,329;Q3;20;2007-2026;"Economics and Econometrics (Q3); Statistics and Probability (Q3)";"Economics, Econometrics and Finance; Mathematics";Switzerland
16231;21101049096;Water Waves;25233688, 2523367X;Springer International Publishing;No;0,329;Q3;11;2019-2026;"Analysis (Q3); Applied Mathematics (Q3); Computational Mathematics (Q3); Modeling and Simulation (Q3)";Mathematics;Switzerland
16232;4700152717;World Rabbit Science;19898886, 12575011;Universidad Politecnica de Valencia;Yes;0,329;Q3;33;2005-2025;Animal Science and Zoology (Q3);Agricultural and Biological Sciences;Spain
16233;15597;Yi Qi Yi Biao Xue Bao/Chinese Journal of Scientific Instrument;02543087;;No;0,329;Q3;44;1998, 2001-2025;Instrumentation (Q3);Physics and Astronomy;China
16234;18504;Current Topics in Membranes;10635823;Academic Press Inc.;No;0,329;Q4;56;1991, 1994, 2000-2003, 2005-2026;"Cell Biology (Q4); Molecular Biology (Q4)";Biochemistry, Genetics and Molecular Biology;United States
16235;21100843344;Analisi;23405236, 02112175;Universitat Autonoma de Barcelona;Yes;0,328;Q1;10;2017-2025;"Cultural Studies (Q1); Communication (Q2)";Social Sciences;Spain
16236;21100897166;Journal of Global Buddhism;15276457;University of Lucerne;Yes;0,328;Q1;9;2018-2025;"Cultural Studies (Q1); History (Q1); Religious Studies (Q1); Sociology and Political Science (Q2)";"Arts and Humanities; Social Sciences";United States
16237;5700153385;Journal of Human Values;09730737, 09716858;Sage Publications India Pvt. Ltd;No;0,328;Q1;23;1995-2026;"Cultural Studies (Q1); Philosophy (Q1); Sociology and Political Science (Q2); Organizational Behavior and Human Resource Management (Q3); Social Psychology (Q3)";"Arts and Humanities; Business, Management and Accounting; Psychology; Social Sciences";India
16238;5800169452;Journal of Slavic Military Studies;13518046, 15563006;Taylor and Francis Ltd.;No;0,328;Q1;15;1993-1996, 1998-1999, 2003, 2005, 2009-2026;"History (Q1); Political Science and International Relations (Q2)";"Arts and Humanities; Social Sciences";United Kingdom
16239;21101288926;Addiction and Health;20084633, 20088469;Kerman University of Medical Sciences;Yes;0,328;Q2;8;2021-2025;"Health Professions (miscellaneous) (Q2); Psychiatry and Mental Health (Q3)";"Health Professions; Medicine";Iran
16240;11300153310;Austrian Journal of Earth Sciences;02517493, 20727151;Sciendo;Yes;0,328;Q2;30;2007-2025;"Stratigraphy (Q2); Geology (Q3); Paleontology (Q3)";Earth and Planetary Sciences;Austria
16241;21100852964;Journal of Research in Applied Linguistics;23453303, 25883887;Shahid Chamran University of Ahvaz;Yes;0,328;Q2;13;2017-2025;Linguistics and Language (Q2);Social Sciences;Iran
16242;23067;Media Asia;23776277, 01296612;Routledge;No;0,328;Q2;17;1974-2026;"Communication (Q2); Linguistics and Language (Q2); Social Sciences (miscellaneous) (Q2)";Social Sciences;United Kingdom
16243;21100972442;Middle East Development Journal;17938120, 17938171;Routledge;No;0,328;Q2;16;2012-2026;"Economics, Econometrics and Finance (miscellaneous) (Q2); Sociology and Political Science (Q2); Development (Q3)";"Economics, Econometrics and Finance; Social Sciences";United Kingdom
16244;26918;Negotiation Journal;15719979, 07484526;MIT Press;No;0,328;Q2;42;1985-2025;"Social Sciences (miscellaneous) (Q2); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences";United States
16245;21100901047;Pedagogia Social;19899742, 11391723;Sociedad Iberoamericana de Pedagogía Social;Yes;0,328;Q2;9;2018-2025;"Sociology and Political Science (Q2); Education (Q3)";Social Sciences;Spain
16246;16909;Promet - Traffic and Transportation;03535320;Faculty of Transport and Traffic Engineering;Yes;0,328;Q2;29;2001-2026;"Automotive Engineering (Q2); Engineering (miscellaneous) (Q2); Urban Studies (Q2); Aerospace Engineering (Q3); Civil and Structural Engineering (Q3); Ocean Engineering (Q3); Safety, Risk, Reliability and Quality (Q3); Transportation (Q3)";"Engineering; Social Sciences";Croatia
16247;21100940325;Reading and Writing (South Africa);20798245, 23081422;AOSIS (Pty) Ltd;Yes;0,328;Q2;9;2019-2026;"Linguistics and Language (Q2); Education (Q3)";Social Sciences;South Africa
16248;21101021756;rEFLections;15135934, 26511479;School of Liberal Arts, King Mongkut's University of Technology Thonburi;No;0,328;Q2;12;2019-2025;"Linguistics and Language (Q2); Education (Q3)";Social Sciences;Thailand
16249;21101147341;Surgeries (Switzerland);26734095;Multidisciplinary Digital Publishing Institute (MDPI);Yes;0,328;Q2;12;2020-2025;"Oral Surgery (Q2); Surgery (Q3)";"Dentistry; Medicine";Switzerland
16250;15125;Archivos de la Sociedad Espanola de Oftalmologia;03656691, 19897286;Elsevier Ltd;No;0,328;Q3;30;1973-1986, 1989-1997, 2000-2026;Ophthalmology (Q3);Medicine;Spain
16251;21101340506;Combinatorics and Number Theory;2996220X, 29962196;Mathematical Sciences Publishers;No;0,328;Q3;13;2024-2025;"Algebra and Number Theory (Q3); Discrete Mathematics and Combinatorics (Q3)";Mathematics;United States
16252;19400158520;Conservation Genetics Resources;18777252, 18777260;Springer Science and Business Media B.V.;No;0,328;Q3;32;2009-2026;"Ecology, Evolution, Behavior and Systematics (Q3); Genetics (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology";Netherlands
16253;19700175607;Estudios de Psicologia;02109395, 15793699;SAGE Publications Inc.;No;0,328;Q3;24;1980-2025;Psychology (miscellaneous) (Q3);Psychology;United Kingdom
16254;21100811729;Ethics, Medicine and Public Health;23525533, 23525525;Elsevier Masson s.r.l.;No;0,328;Q3;21;2015-2026;Health Policy (Q3);Medicine;France
16255;25520;Giornale Italiano di Endodonzia;19711425, 11214171;Ariesdue Srl;Yes;0,328;Q3;18;1990-1991, 2011-2025;Dentistry (miscellaneous) (Q3);Dentistry;Italy
16256;17700156749;Intangible Capital;20143214, 16979818;OmniaScience;Yes;0,328;Q3;27;2009-2025;"Accounting (Q3); Business and International Management (Q3); Education (Q3); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences";Spain
16257;21101346360;Italian Journal of Educational Technology;25327720, 25324632;Firenze University Press;No;0,328;Q3;9;2021-2025;"Computer Science Applications (Q3); Education (Q3)";"Computer Science; Social Sciences";Italy
16258;144606;Journal of Central South University (Medical Sciences);16727347;;No;0,328;Q3;23;2004-2025;Medicine (miscellaneous) (Q3);Medicine;China
16259;28931;Journal of Computer Security;0926227X, 18758924;SAGE Publications Ltd;No;0,328;Q3;60;1992-1993, 1995-2024;"Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Safety, Risk, Reliability and Quality (Q3); Software (Q3)";"Computer Science; Engineering";Netherlands
16260;21101162692;Journal of Education and Learning;20899823, 23029277;Intelektual Pustaka Media Utama;No;0,328;Q3;11;2023-2026;"Development (Q3); Developmental and Educational Psychology (Q3); Education (Q3)";"Psychology; Social Sciences";Indonesia
16261;21100979257;Journal of Energy Systems;26022052;Erol Kurt;Yes;0,328;Q3;11;2018-2025;"Energy Engineering and Power Technology (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Environmental Science";Turkey
16262;21101030478;Journal of Psychosocial Rehabilitation and Mental Health;2198963X, 21989834;Springer;No;0,328;Q3;17;2014-2026;"Clinical Psychology (Q3); Psychiatry and Mental Health (Q3); Rehabilitation (Q3)";"Medicine; Psychology";India
16263;12209;Laser and Particle Beams;1469803X, 02630346;Cambridge University Press;Yes;0,328;Q3;56;1983-2023, 2025;"Atomic and Molecular Physics, and Optics (Q3); Condensed Matter Physics (Q3); Electrical and Electronic Engineering (Q3)";"Engineering; Physics and Astronomy";United Kingdom
16264;11600153409;Malaysian Family Physician;1985207X, 19852274;Academy of Family Physicians of Malaysia;Yes;0,328;Q3;24;2007-2026;"Community and Home Care (Q3); Family Practice (Q3)";"Medicine; Nursing";Malaysia
16265;21101180045;Montes Taurus Journal of Pure and Applied Mathematics;26874814;;No;0,328;Q3;12;2019-2025;"Algebra and Number Theory (Q3); Analysis (Q3); Applied Mathematics (Q3); Computational Mathematics (Q3)";Mathematics;Turkey
16266;4000151910;Ocean Science Journal;20057172, 17385261;Korea Ocean Research and Development Institute;No;0,328;Q3;34;2006-2026;Oceanography (Q3);Earth and Planetary Sciences;South Korea
16267;21100209313;Open Agriculture Journal;18743315;Bentham Science Publishers;Yes;0,328;Q3;22;2012-2026;"Agronomy and Crop Science (Q3); Animal Science and Zoology (Q3); Soil Science (Q3)";Agricultural and Biological Sciences;United Arab Emirates
16268;22635;Ostrich;00306525, 1727947X;Taylor and Francis Ltd.;No;0,328;Q3;33;1930-2026;Ecology, Evolution, Behavior and Systematics (Q3);Agricultural and Biological Sciences;United Kingdom
16269;25644;Presence: Teleoperators and Virtual Environments;15313263, 10547460;MIT Press;No;0,328;Q3;109;1992-2026;"Computer Vision and Pattern Recognition (Q3); Control and Systems Engineering (Q3); Human-Computer Interaction (Q3); Software (Q3)";"Computer Science; Engineering";United States
16270;19400157013;Problemy Ekorozwoju;18956912, 20801971;Politechnika Lubelska;Yes;0,328;Q3;26;2008-2026;"Geography, Planning and Development (Q3); Management, Monitoring, Policy and Law (Q3); Renewable Energy, Sustainability and the Environment (Q3)";"Energy; Environmental Science; Social Sciences";Poland
16271;19900193829;Revista Espanola de Sanidad Penitenciaria;15750620, 20136463;Sociedad Espanola de Sanidad Penitenciaria;Yes;0,328;Q3;14;2011-2025;Medicine (miscellaneous) (Q3);Medicine;Spain
16272;27317;Ship Technology Research;09377255, 20567111;Taylor and Francis Ltd.;No;0,328;Q3;26;1995-1999, 2010-2026;Ocean Engineering (Q3);Engineering;United Kingdom
16273;21101343400;Proceedings - International Conference on Computational Linguistics, COLING;29512093;Association for Computational Linguistics (ACL);No;0,328;-;10;2024;"Computational Theory and Mathematics; Computer Science Applications; Theoretical Computer Science";"Computer Science; Mathematics";Australia
16274;6500153160;Asian Philosophy;09552367, 14692961;Routledge;No;0,327;Q1;22;1991-2026;"Philosophy (Q1); Religious Studies (Q1)";Arts and Humanities;United Kingdom
16275;19900195002;Estudios Sobre el Mensaje Periodistico;19882696, 11341629;Universidad Complutense Madrid;Yes;0,327;Q1;22;2010-2026;"Cultural Studies (Q1); Communication (Q2)";Social Sciences;Spain
16276;21100942909;International Journal of English Language and Literature Studies;23060646, 23069910;Asian Economic and Social Society;No;0,327;Q1;11;2019-2026;"Literature and Literary Theory (Q1); Linguistics and Language (Q2)";"Arts and Humanities; Social Sciences";Pakistan
16277;4700152743;Journal of Religion, Spirituality and Aging;15528030, 15528049;Routledge;No;0,327;Q1;25;2005-2026;"Religious Studies (Q1); Life-span and Life-course Studies (Q4)";"Arts and Humanities; Social Sciences";United States
16278;17600155208;Journal of South Asian Development;09731741, 09731733;Sage Publications India Pvt. Ltd;No;0,327;Q1;22;2006-2007, 2009-2026;"History (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Development (Q3)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences";India
16279;21100202922;Nordic Journal of Religion and Society;18907008, 08097291;Akademika Forlag;No;0,327;Q1;17;2011-2025;Religious Studies (Q1);Arts and Humanities;Norway
16280;27371;Population and Societies;01847783;Institut National d'Etudes Demographiques;No;0,327;Q1;18;1998-2003, 2009-2026;"Cultural Studies (Q1); Demography (Q2); Health (social science) (Q3)";Social Sciences;France
16281;17600154907;Advances in Engineering Education;19411766;American Society for Engineering Education;No;0,327;Q2;31;2009-2025;"Engineering (miscellaneous) (Q2); Education (Q3)";"Engineering; Social Sciences";United States
16282;21101079130;Advances in Laboratory Medicine;2628491X;Walter de Gruyter GmbH;Yes;0,327;Q2;13;2020-2026;"Medical Laboratory Technology (Q2); Education (Q3); Medicine (miscellaneous) (Q3)";"Health Professions; Medicine; Social Sciences";Germany
16283;21101153206;Bulletin of Atmospheric Science and Technology;26621509, 26621495;Springer Nature;No;0,327;Q2;11;2020-2026;"Engineering (miscellaneous) (Q2); Earth and Planetary Sciences (miscellaneous) (Q3); Atmospheric Science (Q4)";"Earth and Planetary Sciences; Engineering";Switzerland
16284;21101017727;Communications in Science and Technology;25029266, 25029258;Komunitas Ilmuwan dan Profesional Muslim Indonesia;Yes;0,327;Q2;15;2016-2025;"Engineering (miscellaneous) (Q2); Chemical Engineering (miscellaneous) (Q3)";"Chemical Engineering; Engineering";Indonesia
16285;21101174182;Critical Gambling Studies;2563190X;University of Alberta Library;Yes;0,327;Q2;6;2020-2025;"Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)";"Arts and Humanities; Social Sciences";Canada
16286;27979;Round Table;00358533, 1474029X;Routledge;No;0,327;Q2;34;1910-1981, 1983-2026;"Political Science and International Relations (Q2); Geography, Planning and Development (Q3)";Social Sciences;United Kingdom
16287;21101055126;Acque Sotterranee - Italian Journal of Groundwater;1828454X, 22806458;Page Press Publications;Yes;0,327;Q3;12;2012-2025;"Environmental Engineering (Q3); Geophysics (Q3); Geotechnical Engineering and Engineering Geology (Q3); Water Science and Technology (Q3); Environmental Chemistry (Q4)";"Earth and Planetary Sciences; Environmental Science";Italy
16288;100147006;Analysis in Theory and Applications;15738175, 16724070;Global Science Press;No;0,327;Q3;13;2004-2011, 2020-2025;"Analysis (Q3); Applied Mathematics (Q3)";Mathematics;Netherlands
16289;19984;Assay and Drug Development Technologies;1540658X, 15578127;Mary Ann Liebert Inc.;No;0,327;Q3;68;2002-2026;"Drug Discovery (Q3); Molecular Medicine (Q4)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics";United States
16290;14907;Cognitive and Behavioral Neurology;15433633, 15433641;Lippincott Williams and Wilkins;No;0,327;Q3;76;2003-2026;"Medicine (miscellaneous) (Q3); Neuropsychology and Physiological Psychology (Q3); Psychiatry and Mental Health (Q3); Cognitive Neuroscience (Q4)";"Medicine; Neuroscience; Psychology";United States
16291;18527;Diagnostic Cytopathology;10970339, 87551039;John Wiley and Sons Inc;No;0,327;Q3;78;1985-2026;"Histology (Q3); Medicine (miscellaneous) (Q3); Pathology and Forensic Medicine (Q3)";Medicine;United States
16292;27906;First Break;02635046, 13652397;EAGE Publishing BV;No;0,327;Q3;51;1989-2026;Geophysics (Q3);Earth and Planetary Sciences;Netherlands
16293;19700175202;GEM - International Journal on Geomathematics;18692672, 18692680;Springer Verlag;No;0,327;Q3;25;2010-2026;"Earth and Planetary Sciences (miscellaneous) (Q3); Modeling and Simulation (Q3)";"Earth and Planetary Sciences; Mathematics";Germany
16294;21100867241;International Journal of Advanced Computer Science and Applications;21565570, 2158107X;Science and Information Organization;No;0,327;Q3;68;2014, 2017-2026;Computer Science (miscellaneous) (Q3);Computer Science;United Kingdom
16295;21101017116;Journal of Advances in Information Technology;17982340;Engineering and Technology Publishing;Yes;0,327;Q3;31;2019-2026;"Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Software (Q3)";Computer Science;United States
16296;23403;Journal of Homeland Security and Emergency Management;21946361, 15477355;Walter de Gruyter GmbH;No;0,327;Q3;34;2004-2026;"Business, Management and Accounting (miscellaneous) (Q3); Safety Research (Q3); Safety, Risk, Reliability and Quality (Q3)";"Business, Management and Accounting; Engineering; Social Sciences";Germany
16297;21100216323;Journal of Neurological Surgery, Part A: Central European Neurosurgery;21936323, 21936315;Georg Thieme Verlag;No;0,327;Q3;42;2012-2026;"Medicine (miscellaneous) (Q3); Neurology (clinical) (Q3); Surgery (Q3)";Medicine;Germany
16298;21101027631;Journal of Privacy and Confidentiality;25758527;Cornell University;Yes;0,327;Q3;14;2019-2025;"Computer Science Applications (Q3); Computer Science (miscellaneous) (Q3); Statistics and Probability (Q3)";"Computer Science; Mathematics";United States
16299;21101079608;Journal of Reliability and Statistical Studies;09748024, 22295666;;No;0,327;Q3;11;2019-2025;"Analysis (Q3); Numerical Analysis (Q3); Statistics and Probability (Q3)";Mathematics;Denmark
16300;21100872779;Management Systems in Production Engineering;22990461, 24505781;Sciendo;Yes;0,327;Q3;21;2018-2026;"Industrial and Manufacturing Engineering (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Engineering";Germany
16301;17459;Neuro-Ophthalmology;01658107, 1744506X;Taylor and Francis Ltd.;No;0,327;Q3;32;1980-2002, 2004-2026;"Neurology (clinical) (Q3); Ophthalmology (Q3)";Medicine;United Kingdom
16302;28852;Nursing Management;15388670, 07446314;Lippincott Williams and Wilkins;No;0,327;Q3;30;1970-2026;"Leadership and Management (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Nursing";United States
